;x;y
1;Sydney Cricket Ground, NA;Australia
2;Manuka Oval, Canberra;Australia
3;Melbourne Cricket Ground, NA;Australia
4;Himachal Pradesh Cricket Association Stadium, Dharmasala;India
5;Feroz Shah Kotla, Delhi;India
6;Punjab Cricket Association Stadium, Mohali, Chandigarh;India
7;JSCA International Stadium Complex, Ranchi;India
8;Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam;India
9;Sharjah Cricket Stadium, NA;Pakistan
10;Sheikh Zayed Stadium, Abu Dhabi;Pakistan
11;Harare Sports Club, NA;Zimbabwe
12;Queens Sports Club, Bulawayo;Zimbabwe
13;Lord's, London;England
14;The Rose Bowl, Southampton;England
15;Trent Bridge, Nottingham;England
16;Edgbaston, Birmingham;England
17;Kennington Oval, London;England
18;Riverside Ground, Chester-le-Street;England
19;Old Trafford, Manchester;England
20;Headingley, Leeds;England
21;Brisbane Cricket Ground, Woolloongabba, Brisbane;Australia
22;Docklands Stadium, Melbourne;Australia
23;Adelaide Oval, NA;Australia
24;Western Australia Cricket Association Ground, Perth;Australia
25;Bellerive Oval, Hobart;Australia
26;Jade Stadium, Christchurch;New Zealand
27;Westpac Stadium, Wellington;New Zealand
28;Arbab Niaz Stadium, Peshawar;Pakistan
29;Rawalpindi Cricket Stadium, NA;Pakistan
30;Gaddafi Stadium, Lahore;Pakistan
31;Multan Cricket Stadium, NA;Pakistan
32;National Stadium, Karachi;Pakistan
33;Queenstown Events Centre, NA;New Zealand
34;McLean Park, Napier;New Zealand
35;Eden Park, Auckland;New Zealand
36;Nahar Singh Stadium, Faridabad;India
37;Nehru Stadium, Fatorda, Margao;India
38;Keenan Stadium, Jamshedpur;India
39;Maharani Usharaje Trust Cricket Ground, Indore;India
40;SuperSport Park, Centurion;South Africa
41;Newlands, Cape Town;South Africa
42;St George's Park, Port Elizabeth;South Africa
43;Kingsmead, Durban;South Africa
44;New Wanderers Stadium, Johannesburg;South Africa
45;R Premadasa Stadium, Colombo;Sri Lanka
46;Sinhalese Sports Club Ground, Colombo;Sri Lanka
47;Sabina Park, Kingston, Jamaica;West Indies
48;Warner Park, Basseterre, St Kitts;West Indies
49;Queen's Park Oval, Port of Spain, Trinidad;West Indies
50;Beausejour Stadium, Gros Islet, St Lucia;West Indies
51;Sir Vivian Richards Stadium, North Sound, Antigua;West Indies
52;Providence Stadium, Guyana;West Indies
53;National Cricket Stadium, St George's, Grenada;West Indies
54;Kensington Oval, Bridgetown, Barbados;West Indies
55;Brabourne Stadium, Mumbai;India
56;Sawai Mansingh Stadium, Jaipur;India
57;Sardar Patel Stadium, Motera, Ahmedabad;India
58;Seddon Park, Hamilton;New Zealand
59;Kinrara Academy Oval, Kuala Lumpur;Malaysia
60;Iqbal Stadium, Faisalabad;Pakistan
61;County Ground, Bristol;England
62;MA Chidambaram Stadium, Chepauk, Chennai;India
63;Indian Petrochemicals Corporation Limited Sports Complex Ground, Vadodara;India
64;Madhavrao Scindia Cricket Ground, Rajkot;India
65;Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium, Visakhapatnam;India
66;Rangiri Dambulla International Stadium, NA;Sri Lanka
67;Civil Service Cricket Club, Stormont, Belfast;Ireland
68;Nehru Stadium, Kochi;India
69;Rajiv Gandhi International Stadium, Uppal, Hyderabad;India
70;Sector 16 Stadium, Chandigarh;India
71;Reliance Stadium, Vadodara;India
72;Vidarbha Cricket Association Ground, Nagpur;India
73;Wankhede Stadium, Mumbai;India
74;Nehru Stadium, Guwahati;India
75;Green Park, Kanpur;India
76;Captain Roop Singh Stadium, Gwalior;India
77;AMI Stadium, Christchurch;New Zealand
78;Arnos Vale Ground, Kingstown, St Vincent;West Indies
79;Shere Bangla National Stadium, Mirpur;Bangladesh
80;M Chinnaswamy Stadium, Bangalore;India
81;Barabati Stadium, Cuttack;India
82;Dubai Sports City Cricket Stadium, NA;Pakistan
83;Vidarbha Cricket Association Stadium, Jamtha, Nagpur;India
84;Sophia Gardens, Cardiff;England
85;Eden Gardens, Kolkata;India
86;Pallekele International Cricket Stadium, NA;Sri Lanka
87;Windsor Park, Roseau, Dominica;West Indies
88;Dubai International Cricket Stadium, NA;Pakistan
89;Boland Park, Paarl;South Africa
90;Buffalo Park, East London;South Africa
91;Chevrolet Park, Bloemfontein;South Africa
92;De Beers Diamond Oval, Kimberley;South Africa
93;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;Sri Lanka
94;Holkar Cricket Stadium, Indore;India
95;Saurashtra Cricket Association Stadium, Rajkot;India
96;Himachal Pradesh Cricket Association Stadium, Dharamsala;India
97;Senwes Park, Potchefstroom;South Africa
98;Willowmoore Park, Benoni;South Africa
99;Maharashtra Cricket Association Stadium, Pune;India
100;Hagley Oval, Christchurch;New Zealand
101;Saxton Oval, Nelson;New Zealand
102;Khan Shaheb Osman Ali Stadium, Fatullah;Bangladesh
103;Bay Oval, Mount Maunganui;New Zealand
104;University Oval, Dunedin;New Zealand
105;Mangaung Oval, Bloemfontein;South Africa
106;Basin Reserve, Wellington;New Zealand
